English,Tamil,Malayalam,Telugu,Hindi
the,தி,ദി,ది,
and,மற்றும்,ഒപ്പം,మరియు,और
have,வேண்டும்,ഉണ്ട്,కలిగి ఉంటాయి,पास होना
that,அந்த,എന്ന്,అని,वह
for,க்கான,വേണ്ടി,కోసం,के लिए
you,நீ,നിങ്ങൾ,మీరు,आप
with,உடன்,കൂടെ,తో,साथ
say,சொல்,പറയുക,అంటున్నారు,कहना
this,இது,ഈ,ఇది,यह
they,அவர்கள்,അവർ,వాళ్ళు,वे
but,ஆனாலும்,പക്ഷേ,కాని,लेकिन
his,அவரது,അദ്ദേഹത്തിന്റെ,తన,उसका
from,இருந்து,നിന്ന്,నుండి,से
not,இல்லை,അല്ല,కాదు,नहीं
she,அவள்,അവൾ,ఆమె,वह
as,என,പോലെ,వంటి,जैसा
what,என்ன,എന്ത്,ఏమి,क्या
their,அவர்களது,അവരുടെ,వారి,उनका
can,முடியும்,കഴിയും,చెయ్యవచ్చు,कर सकना
who,WHO,WHO,WHO,कौन
get,பெறு,ലഭിക്കും,పొందండి,पाना
would,என்று,ചെയ്യും,ఉంటుంది,चाहेंगे
her,அவளை,അവളുടെ,ఆమె,उसकी
all,அனைத்து,എല്ലാം,అన్ని,सभी
make,செய்ய,ഉണ്ടാക്കുക,తయారు,बनाना
about,பற்றி,കുറിച്ച്,గురించి,के बारे में
know,தெரியும்,അറിയാം,తెలుసు,जानना
will,விருப்பம்,ചെയ്യും,రెడీ,इच्छा
one,ஒன்று,ഒന്ന്,ఒకటి,एक
time,நேரம்,സമയം,సమయం,समय
there,அங்கு,അവിടെ,అక్కడ,वहाँ
year,ஆண்டு,വർഷം,సంవత్సరం,वर्ष
think,நினைக்கிறார்கள்,ചിന്തിക്കുക,అనుకుంటాను,सोचना
when,எப்பொழுது,എപ്പോൾ,ఎప్పుడు,कब
which,எந்த,ഏത്,ఏది,कौन
them,அவர்களுக்கு,അവരെ,వాటిని,उन्हें
some,சில,ചിലത്,కొన్ని,कुछ
people,மக்கள்,ആളുകൾ,ప్రజలు,लोग
take,எடுத்துக்கொள்,എടുക്കുക,తీసుకోవడం,लेना
out,வெளியே,പുറത്ത്,బయటకు,बाहर
into,உள்ளே,കടന്നു,లోకి,में
just,வெறும்,വെറും,కేవలం,अभी
see,பார்க்க,കാണുക,చూడండి,देखना
him,அவரை,അവനെ,అతనిని,उसे
your,உங்கள்,നിങ്ങളുടെ,మీ,आपका
come,வாருங்கள்,വരൂ,రండి,आना
could,முடியும்,കഴിയുമായിരുന്നു,కాలేదు,सकना
now,இப்போது,ഇപ്പോൾ,ఇప్పుడు,अब
than,விட,അധികം,కంటే,बजाय
like,போன்ற,പോലെ,ఇష్టం,पसंद
other,மற்றவை,മറ്റുള്ളവ,ఇతర,अन्य
how,எப்படி,എങ്ങനെ,ఎలా,कैसे
then,பிறகு,പിന്നെ,అప్పుడు,तब
its,அதன்,അതിന്റെ,దాని,इसका
our,நமது,ഞങ്ങളുടെ,మా,हमारा
two,இரண்டு,രണ്ട്,రెండు,दो
more,மேலும்,കൂടുതൽ,మరింత,अधिक
these,இவை,ഇവ,ఇవి,इन
want,வேண்டும்,ആഗ്രഹിക്കുന്നു,కావాలి,चाहना
way,வழி,വഴി,మార్గం,रास्ता
look,பார்,നോക്കൂ,చూడు,देखना
first,முதலில்,ആദ്യം,ప్రధమ,पहला
also,மேலும்,കൂടാതെ,కూడా,भी
new,புதிய,പുതിയത്,కొత్త,नया
because,ஏனெனில்,കാരണം,ఎందుకంటే,क्योंकि
day,நாள்,ദിവസം,రోజు,दिन
use,பயன்படுத்த,ഉപയോഗിക്കുക,వా డు,उपयोग
man,ஆண்,മനുഷ്യൻ,మనిషి,आदमी
find,கண்டுபிடிக்க,കണ്ടെത്തുക,కనుగొనండి,खोजो
here,இங்கே,ഇവിടെ,ఇక్కడ,यहाँ
thing,விஷயம்,കാര്യം,విషయం,चीज़
give,கொடுக்க,കൊടുക്കുക,ఇస్తాయి,देना
many,நிறைய,പലതും,అనేక,अनेक
well,நன்றாக,നന്നായി,బాగా,कुंआ
only,மட்டுமே,മാത്രം,మాత్రమే,केवल
those,அந்த,ആ,ఆ,वे
tell,சொல்லுங்கள்,പറയൂ,చెప్పండి,कहना
very,மிகவும்,വളരെ,చాలా,बहुत
even,கூட,പോലും,కూడా,यहां तक ​​की
back,மீண்டும்,തിരികെ,తిరిగి,पीछे
any,ஏதேனும்,ഏതെങ്കിലും,ఏదైనా,कोई
good,நல்ல,നല്ലത്,మంచిది,अच्छा
woman,பெண்,സ്ത്രീ,స్త్రీ,महिला
through,மூலம்,വഴി,ద్వారా,के माध्यम से
life,வாழ்க்கை,ജീവിതം,జీవితం,ज़िंदगी
child,குழந்தை,കുട്ടി,బిడ్డ,बच्चा
work,வேலை,ജോലി,పని,काम
down,கீழ்,താഴേക്ക്,క్రిందికి,नीचे
may,கூடும்,മെയ്,మే,मई
after,பிறகு,ശേഷം,తర్వాత,बाद
should,வேண்டும்,വേണം,ఉండాలి,चाहिए
call,அழைப்பு,വിളി,కాల్ చేయండి,पुकारना
world,உலகம்,ലോകം,ప్రపంచం,दुनिया
over,முடிந்துவிட்டது,കഴിഞ്ഞു,పైగా,ऊपर
school,பள்ளி,സ്കൂൾ,పాఠశాల,विद्यालय
still,இன்னும்,നിശ്ചലമായ,ఇప్పటికీ,फिर भी
try,முயற்சி,ശ്രമിക്കുക,ప్రయత్నించండి,कोशिश
last,கடந்த,അവസാനത്തെ,చివరి,अंतिम
ask,கேட்க,ചോദിക്കുക,అడగండి,पूछना
need,தேவை,ആവശ്യം,అవసరం,ज़रूरत
too,கூட,അതും,చాలా,बहुत
feel,உணர்கிறேன்,തോന്നുന്നു,అనుభూతి,अनुभव करना
three,மூன்று,മൂന്ന്,మూడు,तीन
state,நிலை,സംസ്ഥാനം,రాష్ట్రం,राज्य
never,ஒருபோதும்,ഒരിക്കലും,ఎప్పుడూ,कभी नहीं
become,ஆக,ആയിത്തീരുന്നു,అవుతాయి,बनना
between,இடையே,ഇടയിൽ,మధ్య,बीच में
high,உயர்,ഉയർന്ന,అధిక,उच्च
